species,species_short,BA_seen_mean,BA_seen_std,BA_unseen_mean,BA_unseen_std,DSG_mean,training_domains
Aedes aegypti,Ae.aeg,0.6573428628770952,0.3988826288902431,0.16898148148148148,0.16967963653665874,0.4883613813956137,D1+D3+D4+D5
Aedes albopictus,Ae.alb,0.6760447924372055,0.3393081202334727,0.12271280827366747,0.11022784125701642,0.553331984163538,D1+D2+D3+D5
Culex quinquefasciatus,Cx.qui,0.6539674373301089,0.43129455690871343,0.06349206349206349,0.07525146545440844,0.5904753738380454,D1+D4+D5
Anopheles gambiae,An.gam,0.49449985484148884,0.42014721706249414,0.0008149959250203749,0.0005762891452213101,0.49368485891646846,D1+D5
Anopheles arabiensis,An.ara,0.24892447134696594,0.2259639448066724,0.021794871794871797,0.01987327183451361,0.22712959955209414,D1+D5
Anopheles dirus,An.dir,0.0,0.0,0.016666666666666666,0.023570226039551587,0.016666666666666666,D4
Culex pipiens,Cx.pip,0.8781931224459376,0.05077325626258521,0.8703606442577031,0.07891867727821758,0.007832478188234515,D1+D2+D3+D5
Anopheles minimus,An.min,0.5869809203142538,0.1764672415272376,0.9090909090909091,0.0,0.3221099887766553,D2
Anopheles stephensi,An.ste,0.2601351351351351,0.11321348702781107,0.5675675675675675,0.011033737580104383,0.30743243243243246,D4
